City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Chokurdakh,RU,70.63,147.92,8.13,94,83,4.45,broken clouds
84,Deputatskiy,RU,69.3,139.9,5.36,97,100,1.52,overcast clouds
85,Baltoji Voke,LT,54.6,25.2,46.99,93,90,9.17,overcast clouds
86,Korla,CN,41.76,86.15,50.0,84,0,1.99,clear sky
87,Kodiak,US,57.79,-152.41,39.2,60,1,10.29,clear sky
88,Quelimane,MZ,-17.88,36.89,77.94,83,0,11.1,clear sky
89,Ponta Do Sol,PT,32.67,-17.1,68.0,64,40,13.87,scattered clouds
90,Claremore,US,36.31,-95.62,73.99,60,90,9.17,overcast clouds
91,Brighton,GB,50.83,-0.14,59.0,93,40,18.34,scattered clouds
92,Isangel,VU,-19.55,169.27,75.2,88,75,9.17,broken clouds
93,Atuona,PF,-9.8,-139.03,76.82,73,78,17.05,broken clouds
94,Tripoli,LY,32.88,13.19,76.03,46,0,16.96,clear sky
95,Lebu,CL,-37.62,-73.65,53.71,65,0,16.58,clear sky
96,Kroya,ID,-7.63,109.25,66.99,86,99,4.03,overcast clouds
97,Ilulissat,GL,69.22,-51.1,32.0,94,75,13.87,broken clouds
98,Mar Del Plata,AR,-38.0,-57.56,55.4,62,0,18.34,clear sky
99,Thompson,CA,55.74,-97.86,24.8,79,75,2.24,broken clouds
100,Leningradskiy,RU,69.38,178.42,34.83,85,100,9.48,overcast clouds
101,Smithers,CA,54.78,-127.17,32.0,94,75,0.58,broken clouds
102,Dunedin,NZ,-45.87,170.5,48.99,69,100,1.99,overcast clouds
103,Talnakh,RU,69.49,88.4,14.0,85,100,13.42,overcast clouds
104,Bredasdorp,ZA,-34.53,20.04,64.4,68,0,8.05,clear sky
105,Grindavik,IS,63.84,-22.43,41.0,80,75,20.8,broken clouds
106,Bud,US,39.45,-86.18,55.4,100,90,4.7,overcast clouds
107,Los Llanos De Aridane,ES,28.66,-17.92,75.2,64,75,8.05,broken clouds
108,Mamallapuram,IN,12.63,80.17,82.4,88,40,6.8,mist
109,Kruisfontein,ZA,-34.0,24.73,66.99,60,0,3.0,clear sky
110,Lompoc,US,34.64,-120.46,53.6,100,90,1.7,mist
111,Te Anau,NZ,-45.42,167.72,36.93,86,71,0.94,broken clouds
112,Massakory,TD,13.0,15.73,98.22,9,0,11.14,clear sky
113,Ulaangom,MN,49.98,92.07,27.79,91,35,1.16,scattered clouds
114,Epe,NG,6.58,3.98,83.43,77,32,7.07,light rain
115,Naryan-Mar,RU,67.67,53.09,24.13,97,23,8.05,few clouds
116,Saint George,US,37.1,-113.58,55.4,22,1,2.42,clear sky
117,Jumla,NP,29.27,82.18,47.41,52,0,4.34,clear sky
118,Dikson,RU,73.51,80.55,24.08,97,99,4.83,overcast clouds
119,Ozinki,RU,51.18,49.68,36.86,76,83,10.89,broken clouds
120,Tokur,RU,53.13,132.9,35.24,98,100,3.56,light rain
121,Puerto Ayora,EC,-0.74,-90.35,77.0,73,75,16.11,broken clouds
122,Ostrovnoy,RU,68.05,39.51,34.9,88,99,7.14,overcast clouds
123,Challans,FR,46.84,-1.87,62.6,82,20,9.17,few clouds
124,Roald,NO,62.58,6.13,42.8,81,75,14.99,broken clouds
125,Georgetown,MY,5.41,100.34,84.2,79,40,2.24,scattered clouds
126,Arona,ES,28.1,-16.68,77.0,53,75,9.17,broken clouds
127,Bodden Town,KY,19.28,-81.25,88.0,74,40,11.41,scattered clouds
128,Hermanus,ZA,-34.42,19.23,64.0,71,0,5.01,clear sky
129,Oksfjord,NO,70.24,22.35,33.8,64,1,16.11,clear sky
130,Yumen,CN,40.28,97.2,40.26,56,0,4.59,clear sky
131,Kavieng,PG,-2.57,150.8,80.26,80,100,12.19,overcast clouds
132,Mahebourg,MU,-20.41,57.7,75.2,73,40,13.87,scattered clouds
133,Ilhabela,BR,-23.78,-45.36,77.0,73,35,5.75,scattered clouds
134,Sembakung,ID,3.82,117.25,75.7,91,82,1.25,broken clouds
135,Danielskuil,ZA,-28.19,23.54,86.99,13,85,10.78,overcast clouds
136,Arraial Do Cabo,BR,-22.97,-42.03,80.6,69,20,16.11,few clouds
137,Marystown,CA,47.17,-55.15,57.0,100,100,5.99,overcast clouds
138,Tuatapere,NZ,-46.13,167.68,45.0,80,90,1.99,moderate rain
139,Katsuura,JP,35.13,140.3,60.8,82,75,12.75,shower rain
140,Vila Franca Do Campo,PT,37.72,-25.43,64.4,59,75,16.11,broken clouds
141,Benjamin Constant,BR,-4.38,-70.03,75.2,83,34,3.36,light rain
142,Strezhevoy,RU,60.73,77.59,32.0,91,90,3.02,overcast clouds
143,Otradnoye,RU,59.78,30.82,37.4,86,90,8.95,light rain
144,Udachnyy,RU,66.42,112.4,6.8,92,90,2.08,light shower snow
145,Puteyets,RU,65.17,57.09,26.02,98,100,4.18,light snow
146,Boyolangu,ID,-8.12,111.89,75.87,91,100,0.96,light rain
147,Nome,US,64.5,-165.41,41.0,86,90,8.05,overcast clouds
148,Banda Aceh,ID,5.56,95.32,81.34,73,78,7.7,broken clouds
149,Lamar,US,33.67,-95.58,75.0,94,90,8.05,overcast clouds
150,Vossevangen,NO,60.62,6.42,46.99,96,99,3.02,light rain
151,Yulara,AU,-25.24,130.99,78.8,36,0,8.05,clear sky
152,Keokuk,US,40.4,-91.38,50.0,81,75,9.17,broken clouds
153,Altar,MX,30.7,-111.82,80.01,31,4,4.0,clear sky
154,Pisco,PE,-13.7,-76.22,68.0,68,0,9.17,clear sky
155,Cabulay,PH,16.75,121.5,75.15,90,49,4.68,scattered clouds
156,Vao,NC,-22.67,167.48,73.26,83,20,14.88,few clouds
157,Nanortalik,GL,60.14,-45.24,33.96,88,100,9.4,overcast clouds
158,Scarborough,GB,54.28,-0.4,57.99,92,100,1.99,overcast clouds
159,Hithadhoo,MV,-0.6,73.08,83.21,75,37,14.52,scattered clouds
160,Bethel,US,41.37,-73.41,66.0,88,90,10.29,overcast clouds
161,Montepuez,MZ,-13.13,39.0,83.01,44,21,6.82,few clouds
162,Kalmunai,LK,7.42,81.82,82.24,77,15,5.57,few clouds
163,Bambous Virieux,MU,-20.34,57.76,75.2,73,40,13.87,scattered clouds
164,Longyearbyen,SJ,78.22,15.64,19.4,79,20,9.17,few clouds
165,Antalaha,MG,-14.9,50.28,75.63,74,95,11.48,overcast clouds
166,Lorengau,PG,-2.02,147.27,81.48,75,97,4.47,overcast clouds
167,Guider,CM,9.93,13.95,91.89,24,0,5.14,clear sky
168,Brae,GB,60.4,-1.35,48.2,87,75,31.09,broken clouds
169,Ipixuna,BR,-1.76,-48.8,86.0,74,40,11.41,scattered clouds
170,Saint-Lo,FR,49.12,-1.09,62.6,82,75,14.99,broken clouds
171,San Patricio,US,28.02,-97.52,87.01,78,20,10.29,few clouds
172,Tiksi,RU,71.69,128.87,9.61,93,99,6.24,overcast clouds
173,San Quintin,MX,30.48,-115.95,67.71,76,100,3.18,overcast clouds
174,Coihaique,CL,-45.58,-72.07,57.2,41,0,4.7,clear sky
175,Mayang Imphal,IN,24.62,93.88,67.23,94,99,1.83,light rain
176,Haimen,CN,23.19,116.61,73.4,64,75,6.71,broken clouds
177,Camargo,MX,27.67,-105.17,78.96,33,0,13.85,clear sky
178,Wasilla,US,61.58,-149.44,35.6,43,1,13.87,clear sky
179,East London,ZA,-33.02,27.91,68.0,77,0,13.87,clear sky
180,Hualmay,PE,-11.1,-77.61,70.18,65,3,11.45,clear sky
181,Yishui,CN,35.78,118.63,49.3,45,0,5.32,light rain
182,Bathsheba,BB,13.22,-59.52,89.6,66,20,12.75,few clouds
183,North Bend,US,43.41,-124.22,51.8,87,1,9.17,clear sky
184,Okhotsk,RU,59.38,143.3,32.23,95,100,15.14,light rain
185,Luderitz,NA,-26.65,15.16,77.14,28,0,18.19,clear sky
186,Upernavik,GL,72.79,-56.15,29.41,95,99,11.3,overcast clouds
187,Airai,TL,-8.93,125.41,60.06,99,29,1.05,scattered clouds
188,San Cristobal,VE,7.77,-72.22,87.8,48,40,9.17,scattered clouds
189,Luba,GQ,3.46,8.55,79.16,81,31,6.69,scattered clouds
190,Ratnagiri,IN,16.98,73.3,79.57,86,8,3.36,clear sky
191,Mount Isa,AU,-20.73,139.5,77.0,29,77,8.95,broken clouds
192,Ucluelet,CA,48.93,-125.55,46.4,81,20,10.29,few clouds
193,Bowen,AU,-20.02,148.23,64.4,93,40,2.24,scattered clouds
194,Adrar,MR,20.5,-10.07,93.54,13,52,5.75,broken clouds
195,Taoudenni,ML,22.68,-3.98,96.58,10,0,8.34,clear sky
196,Susanville,US,40.42,-120.65,48.2,57,1,3.36,clear sky
197,Burgeo,CA,47.62,-57.62,51.49,61,95,5.32,overcast clouds
198,Novikovo,RU,51.15,37.89,43.84,63,100,4.85,light rain
199,Kharp,RU,66.8,65.81,20.17,95,100,6.53,overcast clouds
200,Sistranda,NO,63.73,8.83,39.2,93,40,4.7,shower rain
201,Kaitangata,NZ,-46.28,169.85,48.99,69,97,3.0,overcast clouds
202,Atar,MR,20.52,-13.05,98.6,23,84,2.24,broken clouds
203,Pokrovsk,UA,48.28,37.18,49.68,52,100,6.69,overcast clouds
204,Faratsiho,MG,-19.4,46.95,65.34,54,8,4.14,clear sky
205,Labrea,BR,-7.26,-64.8,101.19,33,57,3.74,broken clouds
206,Kamina,CD,-8.74,24.99,69.24,92,100,3.71,light rain
207,Berbera,SO,10.44,45.01,87.03,47,78,2.42,broken clouds
208,Gra Liyia,GR,35.02,25.68,68.0,70,26,8.01,scattered clouds
209,Rognan,NO,67.1,15.39,37.4,55,75,17.22,broken clouds
210,Ponta Delgada,PT,37.73,-25.67,64.4,59,75,16.11,broken clouds
211,Kaduqli,SD,11.02,29.72,83.98,48,81,6.38,broken clouds
212,Goderich,CA,43.75,-81.72,55.0,86,100,20.56,overcast clouds
213,Naze,JP,28.37,129.48,78.8,83,75,8.05,heavy intensity rain
214,Guskhara,IN,23.5,87.75,77.72,85,51,3.29,broken clouds
215,Garut,ID,-7.2,107.89,70.36,88,100,1.21,heavy intensity rain
216,Esperance,AU,-33.87,121.9,57.2,100,90,10.29,light rain
217,Tahta,EG,26.77,31.5,96.8,19,0,9.17,clear sky
218,Yatou,CN,37.15,122.38,54.43,54,0,11.48,clear sky
219,Guiglo,CI,6.55,-7.5,88.79,52,78,3.49,broken clouds
220,Samoylovka,RU,51.18,43.71,39.31,68,100,7.54,overcast clouds
221,Boke,GN,10.94,-14.3,87.8,65,97,4.88,moderate rain
222,Sitka,US,57.05,-135.33,33.8,55,1,5.82,clear sky
223,Avera,US,33.19,-82.53,80.6,74,90,6.93,thunderstorm
224,Bozeman,US,45.68,-111.04,39.99,86,90,5.82,overcast clouds
225,Waipawa,NZ,-41.41,175.52,53.6,81,1,11.41,clear sky
226,Porto Torres,IT,40.84,8.4,73.4,60,47,3.36,scattered clouds
227,Buluang,PH,13.31,123.34,79.12,89,93,5.7,overcast clouds
228,Mehran,IR,33.12,46.16,64.4,18,0,4.7,clear sky
229,Bilma,NE,18.69,12.92,93.31,10,0,7.78,clear sky
230,Faanui,PF,-16.48,-151.75,77.9,77,48,13.56,scattered clouds
231,Dangara,IN,29.68,75.89,74.91,19,0,2.64,clear sky
232,Havelock,US,34.88,-76.9,82.0,69,40,8.05,scattered clouds
233,Fortuna,US,40.6,-124.16,53.01,100,90,9.17,overcast clouds
234,Mahajanga,MG,-15.72,46.32,83.55,59,22,13.13,few clouds
235,Shirokiy,RU,49.76,129.52,38.48,75,0,8.61,clear sky
236,Yeppoon,AU,-23.13,150.73,71.08,83,90,12.03,moderate rain
237,Broome,US,42.25,-75.83,70.0,72,1,14.99,clear sky
238,Yar-Sale,RU,66.83,70.83,21.16,97,96,11.5,overcast clouds
239,Bayevo,RU,53.28,80.77,48.25,49,100,11.95,overcast clouds
240,Padang,ID,-0.95,100.35,77.22,82,100,4.21,moderate rain
241,Ishinomaki,JP,38.42,141.3,59.58,68,100,8.66,moderate rain
242,Megion,RU,61.03,76.11,32.0,91,90,3.56,overcast clouds
243,Jiazi,CN,22.88,116.07,72.28,71,100,11.48,overcast clouds
244,Surab,PK,28.49,66.26,56.61,27,0,8.19,clear sky
245,Kenai,US,60.55,-151.26,36.0,85,1,3.94,clear sky
246,Cacapava,BR,-23.1,-45.71,84.2,42,75,6.93,broken clouds
247,Soe,ID,-9.86,124.28,66.56,98,6,3.11,clear sky
248,Martapura,ID,-3.42,114.85,77.0,94,100,6.93,overcast clouds
249,Lakselv,NO,70.05,24.97,24.8,85,20,13.87,few clouds
250,Retz,AT,48.75,15.96,50.0,90,67,1.99,broken clouds
251,Srandakan,ID,-7.94,110.25,77.81,77,99,3.13,overcast clouds
252,Matamoros,MX,25.53,-103.25,77.0,38,75,3.71,broken clouds
253,Diamantino,BR,-14.41,-56.45,97.65,32,14,6.02,few clouds
254,Nalut,LY,30.33,10.85,83.12,26,0,6.87,clear sky
255,Port Elizabeth,ZA,-33.92,25.57,66.2,68,0,8.05,clear sky
256,Mattawa,US,46.74,-119.9,44.01,81,40,8.59,scattered clouds
257,Olovyannaya,RU,50.95,115.57,26.06,87,0,9.62,clear sky
258,Novyy Buh,UA,47.69,32.52,55.4,62,93,13.42,overcast clouds
259,Victoria,HK,22.29,114.16,75.99,63,100,1.99,overcast clouds
260,Palana,RU,59.12,159.97,32.41,97,42,5.88,scattered clouds
261,Chuy,UY,-33.7,-53.46,62.96,63,46,15.14,scattered clouds
262,Kudahuvadhoo,MV,2.67,72.89,82.94,78,90,12.97,overcast clouds
263,Kolvereid,NO,64.87,11.6,37.4,86,75,5.82,shower rain
264,Nava,MX,28.42,-100.77,79.0,74,40,11.41,scattered clouds
265,Saint-Francois,FR,46.42,3.91,68.0,56,88,17.22,overcast clouds
266,Magdalena,PH,14.2,121.43,82.4,78,75,3.36,broken clouds
267,Pangnirtung,CA,66.15,-65.71,28.4,79,90,3.36,light snow
268,Safranbolu,TR,41.25,32.69,59.86,57,0,0.89,clear sky
269,Coahuayana,MX,18.73,-103.68,80.6,74,40,0.98,scattered clouds
270,Taseyevo,RU,57.22,94.9,38.03,88,100,4.54,overcast clouds
271,Yalvac,TR,38.3,31.18,53.44,77,99,2.13,moderate rain
272,San Isidro,PE,-12.12,-77.05,69.01,68,20,9.17,few clouds
273,Maumere,ID,-8.62,122.21,79.81,76,5,4.21,clear sky
274,Kachug,RU,53.96,105.88,30.96,96,95,3.24,overcast clouds
275,Ancud,CL,-41.87,-73.82,55.4,50,0,6.93,clear sky
