City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Zongolica,MX,77.63,overcast clouds,18.67,-96.98,"Hotel Posada ""Sol y Luna"""
354,Dalmau,IN,76.64,clear sky,26.07,81.03,Bhagirathi Guest House
355,Rosetta,EG,77.0,few clouds,31.4,30.42,Green Valley
362,Sur,OM,77.29,clear sky,22.57,59.53,Sur Plaza Hotel
363,Saint-Pierre,RE,75.2,scattered clouds,-21.34,55.48,Lindsey Hôtel
365,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
373,Mae Sai,TH,72.0,broken clouds,20.43,99.88,Piyaporn Hill Paradise Hotel
376,Palu,ID,76.73,light rain,-0.89,119.87,Hotel Santika Palu
400,Kahului,US,73.4,few clouds,20.89,-156.47,Maui Seaside Hotel
401,Mbouda,CM,72.1,light rain,5.63,10.26,Hôtel Universel
402,Salamiyah,SY,70.0,clear sky,35.01,37.05,Gondolas Forum grandchildren and grandparents
404,Nagato,JP,71.6,light rain,34.38,131.2,いそう庵
412,Abu Samrah,SY,73.49,clear sky,35.3,37.18,
414,Quatre Cocos,MU,75.2,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
416,Poum,NC,74.43,clear sky,-20.23,164.02,Gîte kajeon
427,Malanje,AO,75.7,light rain,-9.54,16.34,Malanje Hotel
431,Sambava,MG,76.5,overcast clouds,-14.27,50.17,Melrose
448,Kirakira,SB,79.48,overcast clouds,-10.45,161.92,SanBiz Lodge
459,Mogadishu,SO,79.97,clear sky,2.04,45.34,Hotel Juba
460,Meulaboh,ID,79.36,moderate rain,4.14,96.13,Kost Pria
465,Qui Nhon,VN,75.15,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
466,Iranshahr,IR,75.2,clear sky,27.2,60.68,کافی نت دانشگاه
474,Caravelas,BR,79.75,broken clouds,-17.71,-39.25,Pousada dos Navegantes
475,Beloha,MG,74.01,clear sky,-25.17,45.05,
480,Mao,ES,71.6,few clouds,39.89,4.27,ARTIEM Capri
482,Cockburn Town,TC,77.0,broken clouds,21.46,-71.14,Osprey Beach Hotel
484,Suriapet,IN,76.57,overcast clouds,17.15,79.62,OYO 45679 Hotel Tirumala Grand
494,Gorontalo,ID,73.81,few clouds,0.54,123.06,Maqna Hotel by Prasanthi
497,Ambilobe,MG,79.47,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
499,Sorong,ID,76.98,light rain,-0.88,131.25,The Waigo Hotel
506,Puerto Del Rosario,ES,77.0,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
519,San Javier,ES,75.99,few clouds,37.81,-0.84,Hotel Mar Menor
523,Jalu,LY,71.1,clear sky,29.03,21.55,Jalu Hotel
532,Ramanuj Ganj,IN,70.21,scattered clouds,23.8,83.7,HOTEL SAI SIDDHI
540,Tezu,IN,70.86,clear sky,27.92,96.17,Circuit House
541,Cap Malheureux,MU,75.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
548,Acari,PE,77.56,few clouds,-15.43,-74.62,Hospedaje Ximens
553,Nizwa,OM,74.66,clear sky,22.93,57.53,Orient Apartments
554,Muroto,JP,71.51,overcast clouds,33.28,134.15,Oota Ryokan
559,Conceicao Da Barra,BR,78.71,overcast clouds,-18.59,-39.73,Cricaré Praia Hotel
562,Raga,SS,74.71,light rain,8.46,25.68,
563,Mayo,US,70.0,overcast clouds,38.89,-76.51,Resorts Resource Group International
571,Payo,ID,74.44,overcast clouds,-3.75,103.64,Mess keban agung
575,Morehead,US,77.0,clear sky,37.27,-87.18,CCI Express Inn
581,Neiafu,TO,75.2,overcast clouds,-18.65,-173.98,Mystic Sands
582,Fortuna Foothills,US,75.2,clear sky,32.66,-114.41,Fortuna De Oro RV Park
589,Bima,ID,78.04,clear sky,-8.47,118.72,Lambitu Hotel
595,Guisijan,PH,79.38,light rain,11.09,122.05,Edol's Garden Resort
599,Faya,SA,73.4,clear sky,18.39,42.45,مقبرة ال مجمل
605,Durango,MX,72.9,clear sky,24.83,-104.83,
608,Ahuimanu,US,77.0,overcast clouds,21.44,-157.84,Paradise Bay Resort
615,Maningrida,AU,79.05,broken clouds,-12.07,134.27,Dhukurrdji Lodge
616,Angoche,MZ,77.99,clear sky,-16.23,39.91,Guest House HESADA
628,Baringo,KE,79.41,light rain,0.47,35.97,Jericho Lodging
631,Weatherford,US,77.0,few clouds,32.76,-97.8,Candlewood Suites Weatherford
638,Jabinyanah,TN,75.2,clear sky,35.03,10.91,maison belmabrouk
651,Danville,US,79.0,clear sky,36.59,-79.39,Holiday Inn Express Danville
656,Gambo,CF,75.45,overcast clouds,4.65,22.26,
